,num_threads,requests_per_s_handled,time_take
0,2,2232.627858450794,0.04479026794433594
1,4,97.98882812080208,1.020524501800537
2,6,97.61398352784508,1.0244433879852295
3,8,81.19298972384964,1.2316334247589111
4,10,54.367835654600796,1.839322805404663
5,12,53.87046799691648,1.85630464553833
6,14,22.96786752235577,4.3539087772369385
7,16,22.9883537952671,4.35002875328064
8,18,6.991074108848501,14.303953647613525
9,20,13.02026329509542,7.680336236953735
10,22,3.616945681785505,27.647636651992798
11,24,0.9191195729509339,108.79977202415466
